Potential (V);Current (A)
-0.2462342342342343;0.4804694790990847
-0.24403303303303306;0.4804907338417933
-0.24183183183183188;0.4805130937585811
-0.2396306306306306;0.4805364075541871
-0.23742942942942952;0.48056090642135435
-0.23522822822822828;0.4805864915135853
-0.23302702702702707;0.48061334729471983
-0.23082582582582584;0.48064144000145176
-0.22862462462462466;0.480670895124567
-0.22642342342342348;0.4807017589169256
-0.2242222222222223;0.48073408336901247
-0.22202102102102103;0.480768012392617
-0.2198198198198199;0.4808035072523403
-0.21761861861861861;0.4808408303594387
-0.21541741741741743;0.48087983183479854
-0.21321621621621628;0.48092091720687746
-0.21101501501501507;0.4809638111161058
-0.20881381381381384;0.481009061708657
-0.20661261261261263;0.4810563316509933
-0.20441141141141145;0.4811061484097398
-0.20221021021021027;0.48115828297573193
-0.2000090090090091;0.4812131707012271
-0.19780780780780788;0.4812707197240687
-0.19560660660660664;0.4813312458442701
-0.19340540540540543;0.4813948289965864
-0.19120420420420425;0.4814616322431683
-0.1890030030030031;0.4815319489364269
-0.1868018018018018;0.48160574931184585
-0.18460060060060066;0.48168359009855977
-0.18239939939939942;0.48176520032738757
-0.18019819819819827;0.4818514600344979
-0.17799699699699706;0.481941798718383
-0.17579579579579588;0.48203749157109077
-0.17359459459459461;0.48213775638971534
-0.17139339339339343;0.4822438753238536
-0.1691921921921922;0.48235528965774693
-0.16699099099099107;0.48247309705024205
-0.16478978978978984;0.48259704663273173
-0.16258858858858863;0.4827279805153005
-0.1603873873873874;0.4828660423650682
-0.1581861861861862;0.4830117366074959
-0.15598498498498503;0.4831657070594496
-0.15378378378378385;0.4833280195024035
-0.15158258258258261;0.4834999462398063
-0.1493813813813814;0.48368099071927995
-0.1471801801801802;0.4838732092632059
-0.14497897897897905;0.4840753919407646
-0.1427777777777778;0.484290567052856
-0.14057657657657666;0.48451694234581805
-0.1383753753753754;0.4847577998837375
-0.13617417417417424;0.4850116705388522
-0.13397297297297298;0.4852814959507876
-0.13177177177177182;0.485566542613889
-0.12957057057057064;0.48586916124935675
-0.12736936936936938;0.48618957975735655
-0.12516816816816823;0.48652934096157385
-0.12296696696696702;0.48688990937429943
-0.12076576576576584;0.48727175201911305
-0.11856456456456463;0.48767790309888165
-0.1163633633633634;0.48810742573745336
-0.11416216216216223;0.4885653238758372
-0.11196096096096098;0.489048858307783
-0.10975975975975985;0.48956547914087944
-0.10755855855855861;0.4901107820316523
-0.10535735735735742;0.49069337530907536
-0.10315615615615618;0.4913091004450212
-0.10095495495495502;0.49196586634733314
-0.09875375375375377;0.4926613026077854
-0.09655255255255263;0.4934017860319786
-0.09435135135135138;0.4941872770176082
-0.09215015015015024;0.4950220494535387
-0.08994894894894895;0.4959090280404622
-0.08774774774774782;0.4968497043415393
-0.08554654654654663;0.49785069156246
-0.0833453453453454;0.4989099068306111
-0.08114414414414418;0.5000384590737829
-0.07894294294294298;0.5012297895020433
-0.07674174174174178;0.5025003741873301
-0.07454054054054055;0.5038391838335131
-0.07233933933933939;0.5052659583262326
-0.07013813813813823;0.5067688875365194
-0.06793693693693696;0.5083656158153305
-0.06573573573573574;0.5100481792210128
-0.06353453453453456;0.5118297643524385
-0.06133333333333342;0.5137070540166623
-0.059132132132132136;0.5156876369383955
-0.05693093093093101;0.5177735619931996
-0.05472972972972976;0.5199657086165901
-0.05252852852852856;0.5222720265263348
-0.05032732732732735;0.5246857191708134
