Potential (V);ic (A);if (A) 
-0.022499999999999964;0.799999999997191;0.11050448342606907
-0.019999999999999907;0.7999999999975209;0.11586305304763843
-0.01749999999999996;0.7999999999978122;0.12128707568538288
-0.015000000000000013;0.7999999999980694;0.12675131668740505
-0.012500000000000067;0.7999999999982963;0.13222831296701187
-0.010000000000000009;0.7999999999984965;0.1376886578491629
-0.007499999999999951;0.7999999999986731;0.14310136042228475
-0.0050000000000000044;0.799999999998829;0.1484342745410963
-0.0024999999999999467;0.7999999999989666;0.15365458899539994
0.0;0.7999999999990881;0.15872936680573088
0.0025000000000000577;0.7999999999991951;0.16362611838642957
0.0050000000000000044;0.7999999999992897;0.1683133906886967
0.007499999999999951;0.7999999999993732;0.1727613526365944
0.010000000000000009;0.7999999999994469;0.1769423563827381
0.012499999999999956;0.7999999999995119;0.18083145425205768
0.015000000000000013;0.7999999999995693;0.1844068527362435
0.01750000000000007;0.7999999999996199;0.18765028747855939
0.020000000000000018;0.7999999999996645;0.190547306687399
0.022500000000000075;0.799999999999704;0.19308745459791093
0.025000000000000022;0.7999999999997387;0.19526435117168425
0.02749999999999997;0.7999999999997695;0.1970756688664177
0.030000000000000027;0.7999999999997965;0.1985230117079864
0.03249999999999997;0.7999999999998204;0.19961170577932935
0.03500000000000003;0.7999999999998416;0.20035051338460919
0.03749999999999998;0.7999999999998602;0.20075128540839998
0.040000000000000036;0.7999999999998766;0.20082856770414875
0.04250000000000009;0.7999999999998911;0.20059917772668767
0.04500000000000004;0.7999999999999039;0.20008176715199488
0.04749999999999999;0.7999999999999152;0.1992963850358096
0.050000000000000044;0.7999999999999252;0.19826405431778046
0.05249999999999999;0.799999999999934;0.1970063723596307
0.05500000000000005;0.7999999999999418;0.19554514389210895
0.057499999999999996;0.7999999999999486;0.19390205239725025
0.06000000000000005;0.7999999999999546;0.19209837370498725
0.0625;0.79999999999996;0.19015473353944815
0.06500000000000006;0.7999999999999647;0.18809090898158787
0.06750000000000012;0.7999999999999688;0.18592567235988933
0.07000000000000006;0.7999999999999725;0.1836766749525222
0.07250000000000001;0.7999999999999757;0.1813603670721433
0.07499999999999996;0.7999999999999786;0.1789919505828146
0.07750000000000001;0.7999999999999812;0.17658535963037736
0.08000000000000007;0.7999999999999834;0.17415326531073175
0.08250000000000002;0.7999999999999853;0.17170710011105694
0.08500000000000008;0.799999999999987;0.16925709819472162
0.08750000000000002;0.7999999999999886;0.1668123479230697
0.09000000000000008;0.7999999999999899;0.16438085338312508
0.09250000000000003;0.799999999999991;0.16196960209160066
0.09499999999999997;0.7999999999999922;0.15958463645091775
0.09750000000000003;0.7999999999999932;0.15723112692519667
0.09999999999999998;0.7999999999999939;0.15491344527210998
0.10250000000000004;0.7999999999999946;0.15263523650219568
0.1050000000000001;0.7999999999999953;0.15039948853653806
0.10750000000000004;0.7999999999999958;0.14820859879520776
0.1100000000000001;0.7999999999999963;0.14606443717257786
0.11250000000000004;0.7999999999999967;0.14396840504367325
0.11499999999999999;0.7999999999999972;0.1419214901006605
0.11750000000000005;0.7999999999999975;0.1399243169435839
0.12;0.7999999999999978;0.1379771934482551
0.12250000000000005;0.799999999999998;0.13608015301008367
0.125;0.7999999999999983;0.13423299281908382
0.12750000000000006;0.7999999999999985;0.1324353083615738
0.13000000000000012;0.7999999999999987;0.1306865243708032
0.13250000000000006;0.7999999999999988;0.12898592246479226
0.135;0.7999999999999989;0.1273326657169368
0.13749999999999996;0.799999999999999;0.12572582040558336
0.14;0.7999999999999993;0.12416437518428715
0.14250000000000007;0.7999999999999994;0.1226472579061906
0.14500000000000002;0.7999999999999994;0.1211733503250612
0.14750000000000008;0.7999999999999995;0.11974150088280311
0.15000000000000002;0.7999999999999995;0.11835053577950229
0.15250000000000008;0.7999999999999996;0.11699926850780432
0.15500000000000003;0.7999999999999997;0.11568650801901807
0.15749999999999997;0.7999999999999997;0.11441106567427461
0.16000000000000003;0.7999999999999998;0.11317176112036052
0.16249999999999998;0.7999999999999998;0.11196742721686653
0.16500000000000004;0.7999999999999998;0.11079691412900503
0.1675000000000001;0.7999999999999998;0.10965909268895874
0.17000000000000004;0.7999999999999998;0.10855285711802842
0.1725000000000001;0.7999999999999998;0.10747712719201537
0.17500000000000004;0.7999999999999998;0.10643084992332068
0.1775;0.7999999999999999;0.10541300082508204
0.18000000000000005;0.7999999999999999;0.10442258481522275
0.1825;0.7999999999999999;0.10345863681161761
0.18500000000000005;0.7999999999999999;0.10252022206353482
0.1875;0.7999999999999999;0.101606436259079
0.19000000000000006;0.7999999999999999;0.10071640544354898
0.19250000000000012;0.7999999999999999;0.09984928577924757
0.19500000000000006;0.7999999999999999;0.09900426317346944
0.1975;0.7999999999999999;0.09818055279793127
0.19999999999999996;0.8;0.09737739851988592
0.2025;0.8;0.09659407226247405
0.20500000000000007;0.8;0.09582987330947842
0.20750000000000002;0.8;0.09508412756756654
0.21000000000000008;0.8;0.09435618679724928
0.21250000000000002;0.8;0.09364542782216748
0.21500000000000008;0.8;0.09295125172490976
0.21750000000000003;0.8;0.0922730830362954
0.21999999999999997;0.8;0.0916103689239962
0.22250000000000003;0.8;0.09096257838540332
0.22499999999999998;0.8;0.09032920144882751
0.22750000000000004;0.8;0.08970974838641003
0.2300000000000001;0.8;0.08910374894148129
0.23250000000000004;0.8;0.08851075157258982
0.2350000000000001;0.8;0.08793032271594418
0.23750000000000004;0.8;0.08736204606761308
0.24;0.8;0.08680552188649958
0.24250000000000005;0.8;0.08626036631879255
0.245;0.8;0.08572621074436854
0.24750000000000005;0.8;0.08520270114539742
0.25;0.8;0.08468949749722293
0.25250000000000006;0.8;0.08418627318145508
0.2550000000000001;0.8;0.08369271442106693
0.25750000000000006;0.8;0.0832085197372083
0.26;0.8;0.08273339942734655
0.26249999999999996;0.8;0.08226707506428536
0.265;0.8;0.08180927901556412
0.26750000000000007;0.8;0.0813597539826857
0.27000000000000013;0.8;0.0809182525596048
0.27249999999999996;0.8;0.08048453680987226
0.275;0.8;0.08005837786182915
0.2775000000000001;0.8;0.07963955552122007
0.28;0.8;0.07922785790061355
0.2825000000000001;0.8;0.07882308106499604
0.2849999999999999;0.8;0.07842502869292295
0.2875;0.8;0.07803351175262323
0.29000000000000004;0.8;0.0776483481924447
0.2925000000000001;0.8;0.0772693626450674
0.29500000000000015;0.8;0.07689638614490006
0.2975;0.8;0.07652925585810706
0.30000000000000004;0.8;0.07616781482472515
0.3025;0.8;0.075811911712338
0.30500000000000005;0.8;0.07546140058081496
0.3075000000000001;0.8;0.07511614065760745
0.30999999999999994;0.8;0.07477599612314625
